source,line_code,station_name,station,entry,n_segments,road_width_mean,road_width_min,road_width_max,sw_width_mean,sw_total_length,road_length_gt4m,sidewalk_length_road_gt4m,sidewalk_length_surface_neg1,sidewalk_length_surface_0,sidewalk_length_surface_1,sidewalk_length_shade_neg1,sidewalk_length_shade_0,sidewalk_length_shade_1,sidewalk_length_obstacle_neg1,sidewalk_length_obstacle_0,sidewalk_length_obstacle_1,barrier_pct_neg1,barrier_pct_0,barrier_pct_1,shade_pct_neg1,shade_pct_0,shade_pct_1,obs_pct_neg1,obs_pct_0,obs_pct_1,bus_stop_count,bus_stop_min_dist,bus_stop_mean_dist,win_count,win_min_dist,win_mean_dist,songtaew_count,songtaew_min_dist,songtaew_mean_dist,minibus_count,minibus_min_dist,minibus_mean_dist,taxi_count,taxi_min_dist,taxi_mean_dist,tuktuk_count,tuktuk_min_dist,tuktuk_mean_dist,samlor_count,samlor_min_dist,samlor_mean_dist,van_count,van_min_dist,van_mean_dist,kiss_ride_count,kiss_ride_min_dist,kiss_ride_mean_dist,park_ride_car_count,park_ride_car_min_dist,park_ride_car_mean_dist,park_ride_moto_count,park_ride_moto_min_dist,park_ride_moto_mean_dist,bike_parking_count,bike_parking_min_dist,bike_parking_mean_dist,bike_share_count,bike_share_min_dist,bike_share_mean_dist,scooter_share_count,scooter_share_min_dist,scooter_share_mean_dist
A21,N10,พหลโยธิน 24,N10 พหลโยธิน 24,5987,56,7.31,3.5,31.5,2.96,2860,7593.4,2860,0,0,2860,1097,440,1323,0,95,2765,0,0,100,38.4,15.4,46.3,0,3.3,96.7,5,50,205.7184813,5,24.68168767,220.6621554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,27,0,0,0,0,0,0,5,14,112.0912632,0,0,0,0,0,0
A21,N11,รัชโยธิน,N11 รัชโยธิน,12159,66,7.12,3.4,31.5,2.83,3443,9636.7,3443,38,0,3405,1693,539,1211,38,178,3227,1.1,0,98.9,49.2,15.7,35.2,1.1,5.2,93.7,4,8,123.3317166,8,25,155.4628451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,12,0,0,0,0,0,0,7,4,78.12699616,0,0,0,0,0,0
A21,N12,เสนานิคม,N12 เสนานิคม,11789,64,7.32,3.4,24.5,2.42,4170,7662.8,4170,38,718,3083,1718,1543,909,668,1492,2010,0.9,17.2,73.9,41.2,37,21.8,16,35.8,48.2,6,87,199.3003166,5,35,250.86556,0,0,0,1,172.5482547,172.5482547,0,0,0,0,0,0,0,0,0,0,0,0,1,83,83,0,0,0,0,0,0,7,5,117.360248,0,0,0,0,0,0
A21,N13,มหาวิทยาลัยเกษตรศาสตร์,N13 มหาวิทยาลัยเกษตรศาสตร์,14375,33,9.15,2.8,28,2.61,3818,4282.4,3818,0,760,3058,1713,1508,597,0,1338,2480,0,19.9,80.1,44.9,39.5,15.6,0,35,65,10,15,266.1179486,8,12,276.7038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,15,0,0,0,0,0,0,8,10,189.1881995,0,0,0,0,0,0
A21,N14,กรมป่าไม้,N14 กรมป่าไม้,5434,46,5.78,1.9,21,3.07,2490,6184.4,2490,0,435,2055,502,1081,907,218,502,1770,0,17.5,82.5,20.2,43.4,36.4,8.8,20.2,71.1,5,75,213.175763,8,55,246.3862645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,17.36196867,0,0,0,0,0,0,7,8,117.5619035,0,0,0,1,201.3844734,201.3844734
A21,N15,บางบัว,N15 บางบัว,8717,52,6.14,1.6,21,2.58,4205,5435.4,4205,0,487,3718,2390,1737,78,247,776,3182,0,11.6,88.4,56.8,41.3,1.9,5.9,18.5,75.7,5,12.37202165,182.559731,4,40,214.7806844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,13.20874549,29.35272943,0,0,0,0,0,0,7,4,84.70776666,0,0,0,0,0,0
A21,N16,กรมทหารราบที่ 11,N16 กรมทหารราบที่ 11,5297,43,5.54,3.7,21,3.13,2009,4416.4,2009,0,483,1526,105,483,1421,131,352,1526,0,24,76,5.2,24,70.7,6.5,17.5,76,6,55,190.4138104,3,30,239.1893995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,18.31248098,28.15624049,0,0,0,0,0,0,8,8,126.6632278,0,0,0,0,0,0
A21,N18,พหลโยธิน 59,N18 พหลโยธิน 59,3991,36,6.7,3.8,28,3.9,1684,5766.5,1684,0,0,1684,93,88,1503,0,0,1684,0,0,100,5.5,5.2,89.3,0,0,100,6,30,224.7184938,6,35,302.2265003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,15.23162059,149.1158103,0,0,0,0,0,0,15,8,185.2068803,0,0,0,0,0,0
A21,N19,สายหยุด,N19 สายหยุด,8104,88,6.46,2.5,21,3.39,3294,11662.9,3294,0,0,3294,2661,633,0,0,643,2651,0,0,100,80.8,19.2,0,0,19.5,80.5,9,10.74803896,251.9167591,8,25,259.6460147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,16.18476576,17.13154817,0,0,0,0,0,0,12,8,143.5109026,0,0,0,0,0,0
A21,N20,สะพานใหม่,N20 สะพานใหม่,10180,58,6.24,1.6,21,2.92,1864,6656.6,1864,0,0,1864,108,1598,158,0,1493,371,0,0,100,5.8,85.7,8.5,0,80.1,19.9,4,42,253.2531249,6,30,170.692107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13.10782779,17.55391389,0,0,0,0,0,0,7,8,51.95118679,0,0,0,0,0,0
A21,N21,โรงพยาบาลภูมิพลอดุลยเดช,N21 โรงพยาบาลภูมิพลอดุลยเดช,2631,3,21,21,21,4.65,1865,997.9,1865,0,0,1865,0,0,1865,0,0,1865,0,0,100,0,0,100,0,0,100,4,82,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14.21845142,31.10922571,0,0,0,0,0,0,4,12,20.47512062,1,14,14,0,0,0
