source,line_code,line_id,เจ้าของโครงการ (รัฐ),ผู้เดินรถ / สัมปทาน (เอกชน),station_name,station,entry,bus_stop_count,win_count,songtaew_count,minibus_count,taxi_count,tuktuk_count,samlor_count,van_count,kiss_ride_count,park_ride_car_count,park_ride_moto_count,bike_parking_count,bike_share_count,scooter_share_count,bike_parking_min_dist,bike_parking_mean_dist,bike_share_min_dist,bike_share_mean_dist,bus_stop_min_dist,bus_stop_mean_dist,kiss_ride_min_dist,kiss_ride_mean_dist,minibus_min_dist,minibus_mean_dist,park_ride_car_min_dist,park_ride_car_mean_dist,park_ride_moto_min_dist,park_ride_moto_mean_dist,samlor_min_dist,samlor_mean_dist,scooter_share_min_dist,scooter_share_mean_dist,songtaew_min_dist,songtaew_mean_dist,taxi_min_dist,taxi_mean_dist,tuktuk_min_dist,tuktuk_mean_dist,van_min_dist,van_mean_dist,win_min_dist,win_mean_dist,n_segments,road_width_mean,road_width_min,road_width_max,sw_width_mean,sw_total_length,sidewalk_length,sidewalk_length_1,sidewalk_length_2,road_length_gt4m,road_length_gt4m_atleast1sw,sidewalk_length_surface_neg1,surface_pct_neg1,sidewalk_length_surface_0,surface_pct_0,sidewalk_length_surface_1,surface_pct_1,sidewalk_length_shade_neg1,shade_pct_neg1,sidewalk_length_shade_0,shade_pct_0,sidewalk_length_shade_1,shade_pct_1,sidewalk_length_obstacle_neg1,obs_pct_neg1,sidewalk_length_obstacle_0,obs_pct_0,sidewalk_length_obstacle_1,obs_pct_1,POP25,PRIM25,SEC25,TER25,STU25,TOUR25,COMAR25,n_zones_in_buffer,station_typology
A21,N10,BTS,กทม. (ผ่าน กรุงเทพธนาคม),BTSC (BTS Group),พหลโยธิน 24,N10 พหลโยธิน 24,5987.0,5,5,0,0,0,0,0,0,2,0,0,5,0,0,14.0,26.33333333333333,0.0,0.0,50.0,148.25,7.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,76.0,56,7.31,3.5,31.5,2.96,2860.0,1420.0,1420.0,1440.0,7593.4,1575.0,0.0,0.0,0.0,0.0,2860.0,100.0,1097.0,38.4,440.0,15.4,1323.0,46.3,0.0,0.0,95.0,3.3,2765.0,96.7,6525.375,0.0,154.625,7411.25,505.0,33.25,7196.25,8,Local Station
A21,N11,BTS,กทม. (ผ่าน กรุงเทพธนาคม),BTSC (BTS Group),รัชโยธิน,N11 รัชโยธิน,12159.0,4,8,0,0,0,0,0,0,2,0,0,7,0,0,4.0,16.0,0.0,0.0,8.0,39.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,82.5,66,7.12,3.4,31.5,2.83,3443.0,1940.0,1486.0,1957.0,9636.7,2159.3,38.0,1.1,0.0,0.0,3405.0,98.9,1693.0,49.2,539.0,15.7,1211.0,35.2,38.0,1.1,178.0,5.2,3227.0,93.7,7765.0,0.0,204.6,6606.4,673.0,53.2,7800.0,5,Local Station
A21,N12,BTS,กทม. (ผ่าน กรุงเทพธนาคม),BTSC (BTS Group),เสนานิคม,N12 เสนานิคม,11789.0,6,5,0,1,0,0,0,0,1,0,0,7,0,0,5.0,16.0,0.0,0.0,87.0,136.25,83.0,83.0,180.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,150.66666666666666,64,7.32,3.4,24.5,2.42,4170.0,2180.0,2142.0,2028.0,7662.8,2482.8,38.0,0.9,718.0,17.2,3083.0,73.9,1718.0,41.2,1543.0,37.0,909.0,21.8,668.0,16.0,1492.0,35.8,2010.0,48.2,8634.666666666666,0.0,337.5,4178.333333333333,1746.8333333333333,98.66666666666669,6500.0,6,Local Station
A21,N13,BTS,กทม. (ผ่าน กรุงเทพธนาคม),BTSC (BTS Group),มหาวิทยาลัยเกษตรศาสตร์,N13 มหาวิทยาลัยเกษตรศาสตร์,14375.0,10,8,0,0,0,0,0,0,1,0,0,8,0,0,10.0,19.0,0.0,0.0,15.0,60.75,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,117.33333333333331,33,9.15,2.8,28.0,2.61,3818.0,1936.0,1936.0,1882.0,4282.4,2100.4,0.0,0.0,760.0,19.9,3058.0,80.1,1713.0,44.9,1508.0,39.5,597.0,15.6,0.0,0.0,1338.0,35.0,2480.0,65.0,7773.75,0.0,290.0,4125.0,2060.25,111.5,0.0,4,Local Station
A21,N14,BTS,กทม. (ผ่าน กรุงเทพธนาคม),BTSC (BTS Group),กรมป่าไม้,N14 กรมป่าไม้,5434.0,5,8,0,0,0,0,0,0,2,0,0,7,0,1,8.0,24.25,0.0,0.0,75.0,175.75,12.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,180.66666666666663,46,5.78,1.9,21.0,3.07,2490.0,1381.0,1381.0,1109.0,6184.4,1668.9,0.0,0.0,435.0,17.5,2055.0,82.5,502.0,20.2,1081.0,43.4,907.0,36.4,218.0,8.8,502.0,20.2,1770.0,71.1,7008.6,0.0,166.2,4182.0,5361.2,102.8,0.0,5,Local Station
A21,N15,BTS,กทม. (ผ่าน กรุงเทพธนาคม),BTSC (BTS Group),บางบัว,N15 บางบัว,8717.0,5,4,0,0,0,0,0,0,4,0,0,7,0,0,4.0,28.0,0.0,0.0,37.0,79.0,14.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,97.5,52,6.14,1.6,21.0,2.58,4205.0,2137.0,2033.0,2172.0,5435.4,2370.5,0.0,0.0,487.0,11.6,3718.0,88.4,2390.0,56.8,1737.0,41.3,78.0,1.9,247.0,5.9,776.0,18.5,3182.0,75.7,8041.166666666667,0.0,477.3333333333333,4108.166666666667,4493.166666666667,17.0,0.0,6,Local Station
A21,N16,BTS,กทม. (ผ่าน กรุงเทพธนาคม),BTSC (BTS Group),กรมทหารราบที่ 11,N16 กรมทหารราบที่ 11,5297.0,6,3,0,0,0,0,0,0,2,0,0,8,0,0,8.0,74.5,0.0,0.0,55.0,134.75,38.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,142.5,43,5.54,3.7,21.0,3.13,2009.0,1053.0,1053.0,956.0,4416.4,1263.4,0.0,0.0,483.0,24.0,1526.0,76.0,105.0,5.2,483.0,24.0,1421.0,70.7,131.0,6.5,352.0,17.5,1526.0,76.0,10321.25,0.0,74.25,5804.75,3516.75,0.0,0.0,4,Local Station
A21,N18,BTS,กทม. (ผ่าน กรุงเทพธนาคม),BTSC (BTS Group),พหลโยธิน 59,N18 พหลโยธิน 59,3991.0,6,6,0,0,0,0,0,0,2,0,0,15,0,0,8.0,17.0,0.0,0.0,30.0,158.75,20.0,151.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,209.33333333333337,36,6.7,3.8,28.0,3.9,1684.0,832.0,832.0,852.0,5766.5,1011.8,0.0,0.0,0.0,0.0,1684.0,100.0,93.0,5.5,88.0,5.2,1503.0,89.3,0.0,0.0,0.0,0.0,1684.0,100.0,10643.25,0.0,134.25,5302.75,2662.5,32.5,30647.0,4,Local Station
A21,N19,BTS,กทม. (ผ่าน กรุงเทพธนาคม),BTSC (BTS Group),สายหยุด,N19 สายหยุด,8104.0,9,8,0,0,0,0,0,0,2,0,0,12,0,0,8.0,11.25,0.0,0.0,45.0,86.5,75.0,82.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,79.66666666666667,88,6.46,2.5,21.0,3.39,3294.0,1621.0,1621.0,1673.0,11662.9,1710.5,0.0,0.0,0.0,0.0,3294.0,100.0,2661.0,80.8,633.0,19.2,0.0,0.0,0.0,0.0,643.0,19.5,2651.0,80.5,15646.25,1.0,177.25,4619.25,414.0,32.5,13147.0,4,Local Station
A21,N20,BTS,กทม. (ผ่าน กรุงเทพธนาคม),BTSC (BTS Group),สะพานใหม่,N20 สะพานใหม่,10180.0,4,6,0,0,0,0,0,0,2,0,0,7,0,0,8.0,11.5,0.0,0.0,42.0,177.66666666666666,22.0,47.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,101.66666666666669,58,6.24,1.6,21.0,2.92,1864.0,924.0,924.0,940.0,6656.6,1132.8,0.0,0.0,0.0,0.0,1864.0,100.0,108.0,5.8,1598.0,85.7,158.0,8.5,0.0,0.0,1493.0,80.1,371.0,19.9,13487.75,0.0,314.5,5168.5,3015.0,0.0,4000.0,4,Local Station
