source,line_code,station_name,station,bike_parking_count,bike_parking_min_dist,bike_parking_mean_dist,park_ride_moto_count,park_ride_moto_min_dist,park_ride_moto_mean_dist,taxi_count,taxi_min_dist,taxi_mean_dist,bus_stop_count,bus_stop_min_dist,bus_stop_mean_dist,bike_share_count,bike_share_min_dist,bike_share_mean_dist,songtaew_count,songtaew_min_dist,songtaew_mean_dist,win_count,win_min_dist,win_mean_dist,park_ride_car_count,park_ride_car_min_dist,park_ride_car_mean_dist,scooter_share_count,scooter_share_min_dist,scooter_share_mean_dist,tuktuk_count,tuktuk_min_dist,tuktuk_mean_dist,kiss_ride_count,kiss_ride_min_dist,kiss_ride_mean_dist,minibus_count,minibus_min_dist,minibus_mean_dist,entry,n_segments,road_width_mean,road_width_min,road_width_max,sw_width_mean,sw_total_length,road_length_gt4m,sidewalk_length_road_gt4m,sidewalk_length_surface_neg1,sidewalk_length_surface_0,sidewalk_length_surface_1,sidewalk_length_shade_neg1,sidewalk_length_shade_0,sidewalk_length_shade_1,sidewalk_length_obstacle_neg1,sidewalk_length_obstacle_0,sidewalk_length_obstacle_1,barrier_pct_neg1,barrier_pct_0,barrier_pct_1,shade_pct_neg1,shade_pct_0,shade_pct_1,obs_pct_neg1,obs_pct_0,obs_pct_1
A21,N10,พหลโยธิน 24,N10 พหลโยธิน 24,3,14.0,26.33333333333333,0,0.0,0.0,0,0.0,0.0,4,50.0,148.25,0,0.0,0.0,0,0.0,0.0,3,30.0,76.0,0,0.0,0.0,0,0,0,0,0.0,0.0,2,7.0,27.0,0,0.0,0.0,5987.0,56,7.31,3.5,31.5,2.96,2860.0,7593.4,2860.0,0.0,0.0,2860.0,1097.0,440.0,1323.0,0.0,95.0,2765.0,0.0,0.0,100.0,38.4,15.4,46.3,0.0,3.3,96.7
A21,N11,รัชโยธิน,N11 รัชโยธิน,4,4.0,16.0,0,0.0,0.0,0,0.0,0.0,3,8.0,39.0,0,0.0,0.0,0,0.0,0.0,4,25.0,82.5,0,0.0,0.0,0,0,0,0,0.0,0.0,2,12.0,12.0,0,0.0,0.0,12159.0,66,7.12,3.4,31.5,2.83,3443.0,9636.7,3443.0,38.0,0.0,3405.0,1693.0,539.0,1211.0,38.0,178.0,3227.0,1.1,0.0,98.9,49.2,15.7,35.2,1.1,5.2,93.7
A21,N12,เสนานิคม,N12 เสนานิคม,3,5.0,16.0,0,0.0,0.0,0,0.0,0.0,4,87.0,136.25,0,0.0,0.0,0,0.0,0.0,3,35.0,150.66666666666666,0,0.0,0.0,0,0,0,0,0.0,0.0,1,83.0,83.0,1,180.0,180.0,11789.0,64,7.32,3.4,24.5,2.42,4170.0,7662.8,4170.0,38.0,718.0,3083.0,1718.0,1543.0,909.0,668.0,1492.0,2010.0,0.9,17.2,73.9,41.2,37.0,21.8,16.0,35.8,48.2
A21,N13,มหาวิทยาลัยเกษตรศาสตร์,N13 มหาวิทยาลัยเกษตรศาสตร์,4,10.0,19.0,0,0.0,0.0,0,0.0,0.0,4,15.0,60.75,0,0.0,0.0,0,0.0,0.0,3,12.0,117.33333333333331,0,0.0,0.0,0,0,0,0,0.0,0.0,1,15.0,15.0,0,0.0,0.0,14375.0,33,9.15,2.8,28.0,2.61,3818.0,4282.4,3818.0,0.0,760.0,3058.0,1713.0,1508.0,597.0,0.0,1338.0,2480.0,0.0,19.9,80.1,44.9,39.5,15.6,0.0,35.0,65.0
A21,N14,กรมป่าไม้,N14 กรมป่าไม้,4,8.0,24.25,0,0.0,0.0,0,0.0,0.0,4,75.0,175.75,0,0.0,0.0,0,0.0,0.0,3,55.0,180.66666666666663,0,0.0,0.0,0,0,0,0,0.0,0.0,2,12.0,20.0,0,0.0,0.0,5434.0,46,5.78,1.9,21.0,3.07,2490.0,6184.4,2490.0,0.0,435.0,2055.0,502.0,1081.0,907.0,218.0,502.0,1770.0,0.0,17.5,82.5,20.2,43.4,36.4,8.8,20.2,71.1
A21,N15,บางบัว,N15 บางบัว,4,4.0,28.0,0,0.0,0.0,0,0.0,0.0,3,37.0,79.0,0,0.0,0.0,0,0.0,0.0,2,40.0,97.5,0,0.0,0.0,0,0,0,0,0.0,0.0,2,14.0,42.0,0,0.0,0.0,8717.0,52,6.14,1.6,21.0,2.58,4205.0,5435.4,4205.0,0.0,487.0,3718.0,2390.0,1737.0,78.0,247.0,776.0,3182.0,0.0,11.6,88.4,56.8,41.3,1.9,5.9,18.5,75.7
A21,N16,กรมทหารราบที่ 11,N16 กรมทหารราบที่ 11,4,8.0,74.5,0,0.0,0.0,0,0.0,0.0,4,55.0,134.75,0,0.0,0.0,0,0.0,0.0,2,30.0,142.5,0,0.0,0.0,0,0,0,0,0.0,0.0,2,38.0,64.0,0,0.0,0.0,5297.0,43,5.54,3.7,21.0,3.13,2009.0,4416.4,2009.0,0.0,483.0,1526.0,105.0,483.0,1421.0,131.0,352.0,1526.0,0.0,24.0,76.0,5.2,24.0,70.7,6.5,17.5,76.0
A21,N18,พหลโยธิน 59,N18 พหลโยธิน 59,4,8.0,17.0,0,0.0,0.0,0,0.0,0.0,4,30.0,158.75,0,0.0,0.0,0,0.0,0.0,3,35.0,209.33333333333337,0,0.0,0.0,0,0,0,0,0.0,0.0,2,20.0,151.5,0,0.0,0.0,3991.0,36,6.7,3.8,28.0,3.9,1684.0,5766.5,1684.0,0.0,0.0,1684.0,93.0,88.0,1503.0,0.0,0.0,1684.0,0.0,0.0,100.0,5.5,5.2,89.3,0.0,0.0,100.0
A21,N19,สายหยุด,N19 สายหยุด,4,8.0,11.25,0,0.0,0.0,0,0.0,0.0,4,45.0,86.5,0,0.0,0.0,0,0.0,0.0,3,25.0,79.66666666666667,0,0.0,0.0,0,0,0,0,0.0,0.0,2,75.0,82.5,0,0.0,0.0,8104.0,88,6.46,2.5,21.0,3.39,3294.0,11662.9,3294.0,0.0,0.0,3294.0,2661.0,633.0,0.0,0.0,643.0,2651.0,0.0,0.0,100.0,80.8,19.2,0.0,0.0,19.5,80.5
A21,N20,สะพานใหม่,N20 สะพานใหม่,4,8.0,11.5,0,0.0,0.0,0,0.0,0.0,3,42.0,177.66666666666666,0,0.0,0.0,0,0.0,0.0,3,30.0,101.66666666666669,0,0.0,0.0,0,0,0,0,0.0,0.0,2,22.0,47.5,0,0.0,0.0,10180.0,58,6.24,1.6,21.0,2.92,1864.0,6656.6,1864.0,0.0,0.0,1864.0,108.0,1598.0,158.0,0.0,1493.0,371.0,0.0,0.0,100.0,5.8,85.7,8.5,0.0,80.1,19.9
