station,bus_stop_count,bus_stop_min_dist,win_count,win_min_dist,songtaew_count,songtaew_min_dist,minibus_count,minibus_min_dist,taxi_count,taxi_min_dist,tuktuk_count,tuktuk_min_dist,kiss_ride_count,kiss_ride_min_dist,park_ride_car_count,park_ride_car_min_dist,park_ride_moto_count,park_ride_moto_min_dist,bike_parking_count,bike_parking_min_dist,bike_share_count,bike_share_min_dist,scooter_share_count,scooter_share_min_dist
ARL บ้านทับช้าง,0,0.0,3,55.0,0,0.0,0,0.0,1,305.0,0,0.0,2,45.0,3,85.0,2,116.0,0,0.0,0,0.0,0,0
ARL ราชปรารภ,2,135.32672351169532,2,5.753580343405236,0,0.0,0,0.0,1,160.04497641591047,1,5.753580343405236,1,14.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0
ARL รามคำแหง,3,120.0032327,3,49.96167056,3,130.0483989,3,530.0,0,0.0,0,0.0,0,0.0,3,199.9557588,0,0.0,3,25.24154442,0,0.0,0,0
ARL ลาดกระบัง,1,105.0,1,110.0,1,99.0,0,0.0,1,60.0,0,0.0,1,25.0,1,108.0,1,25.0,0,0.0,0,0.0,0,0
BTS ชิดลม,6,5.0,6,25.48513275,0,0.0,0,0.0,0,0.0,3,170.0,3,90.0,0,0.0,0,0.0,0,0.0,6,80.0,0,0
BTS ช้างเอราวัณ,6,16.0,6,13.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,6,25.0,0,0.0,0,0
BTS ทองหล่อ,4,10.0,4,30.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,8.0,4,8.0,0,0
BTS นานา,4,30.0,4,30.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,5.0,4,5.0,0,0
BTS บางจาก,6,30.0,6,54.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,6,3.0,0,0.0,0,0
BTS บางนา,5,24.0,5,11.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,5,13.0,0,0.0,0,0
