station,bus_stop_count,bus_stop_min_dist,bus_stop_mean_dist,win_count,win_min_dist,win_mean_dist,songtaew_count,songtaew_min_dist,songtaew_mean_dist,minibus_count,minibus_min_dist,minibus_mean_dist,taxi_count,taxi_min_dist,taxi_mean_dist,tuktuk_count,tuktuk_min_dist,tuktuk_mean_dist,kiss_ride_count,kiss_ride_min_dist,kiss_ride_mean_dist,park_ride_car_count,park_ride_car_min_dist,park_ride_car_mean_dist,park_ride_moto_count,park_ride_moto_min_dist,park_ride_moto_mean_dist,bike_parking_count,bike_parking_min_dist,bike_parking_mean_dist,bike_share_count,bike_share_min_dist,bike_share_mean_dist,scooter_share_count,scooter_share_min_dist,scooter_share_mean_dist
ARL หัวหมาก และ MRT หัวหมาก,2,91.0,93.0,4,42.0,72.75,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5.0,33.333333333333336,0,0,0,0,0,0
BTS กรุงธนบุรี และ MRT กรุงธนบุรี,3,42.0,95.33333333333333,2,5.0,8.5,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6.0,8.0,0,0,0,0,0,0
BTS บางหว้า และ MRT บางหว้า,4,10.0,107.0,3,12.0,75.66666666666667,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10.0,41.0,0,0,0,0,0,0
BTS พญาไท และ APL พญาไท,3,43.0,134.33333333333334,5,11.0,23.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,43.0,48.5,0,0,0,0,0,0
BTS วัดพระศรีมหาธาตุ และ MRT วัดพระศรีมหาธาตุ,5,52.0,258.4,4,22.0,78.25,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5.0,14.0,0,0,0,0,0,0
BTS ศาลาแดง  และ MRT สีลม,2,3.0,17.0,3,9.0,16.333333333333332,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
BTS สะพานตากสิน,2,110.0,125.0,1,30.0,30.0,1,30.0,30.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22.0,22.0,0,0,0,0,0,0
BTS สำโรง และ MRT  สำโรง,3,5.0,68.0,3,11.0,22.333333333333332,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5.0,20.5,0,0,0,0,0,0
BTS หมอชิต และ MRT สวนจตุจักร,3,15.0,73.0,4,5.0,14.5,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,85.0,242.5,0,0,0,0,0,0
BTS ห้าแยกลาดพร้าว และ MRT พหลโยธิน,3,49.0,85.0,4,5.0,98.75,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,36.0,38.5,0,0,0,0,0,0
BTS อนุสาวรีย์ชัยสมรภูมิ,2,29.0,59.5,4,5.0,16.75,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12.0,32.0,0,0,0,0,0,0
BTS อโศก และ MRT สุขุมวิท,2,79.0,79.5,2,37.0,39.5,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7.0,28.0,0,0,0,0,0,0
MRT ท่าพระ,5,170.0,204.0,2,5.0,7.5,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10.0,13.666666666666666,0,0,0,0,0,0
MRT บางซื่อ และ SRT กรงเทพอภิวัฒน์,1,28.0,28.0,2,20.0,21.5,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
MRT บางซ่อน และ SRT บางซ่อน,4,5.0,52.75,5,6.0,31.6,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4.0,21.333333333333332,0,0,0,0,0,0
MRT บางโพ,4,120.0,210.0,3,9.0,28.666666666666668,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5.0,73.25,0,0,0,0,0,0
MRT ลาดพร้าว สีน้ำเงิน และ MRT ลาดพร้าว สีเหลือง,4,39.0,97.5,4,2.0,68.75,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,100.0,123.33333333333333,0,0,0,0,0,0
MRT ศูนย์ราชการนนทบุรี (สีม่วง) และ ศูนย์ราชการนนทบุรี (สีชมพู),3,6.0,105.0,4,2.0,67.25,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10.0,53.5,0,0,0,0,0,0
MRT สนามไชย,2,41.0,85.5,2,5.0,97.5,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,500.0,500.0,0,0,0,0,0,0
MRT หัวลำโพง,3,49.0,65.66666666666667,1,2.0,2.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9.0,12.0,0,0,0,0,0,0
MRT เตาปูน,4,83.0,108.25,4,6.0,21.25,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4.0,45.666666666666664,0,0,0,0,0,0
MRT เพชรบุรี และ ARL มักกะสัน,2,5.0,67.5,3,20.0,42.666666666666664,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3.0,61.5,0,0,0,0,0,0
MRT เมืองทองธานี,3,170.0,183.33333333333334,1,250.0,250.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6.0,31.75,0,0,0,0,0,0
SRT ดอนเมือง,3,30.0,86.66666666666667,4,10.0,132.5,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5.0,26.0,0,0,0,0,0,0
SRT หลักสี่ และ MRT หลักสี่,3,10.0,151.66666666666666,4,2.0,59.75,1,5.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5.0,73.0,0,0,0,0,0,0
