station,bus_stop_count,bus_stop_min_dist,bus_stop_mean_dist,win_count,win_min_dist,win_mean_dist,songtaew_count,songtaew_min_dist,songtaew_mean_dist,minibus_count,minibus_min_dist,minibus_mean_dist,taxi_count,taxi_min_dist,taxi_mean_dist,tuktuk_count,tuktuk_min_dist,tuktuk_mean_dist,kiss_ride_count,kiss_ride_min_dist,kiss_ride_mean_dist,park_ride_car_count,park_ride_car_min_dist,park_ride_car_mean_dist,park_ride_moto_count,park_ride_moto_min_dist,park_ride_moto_mean_dist,bike_parking_count,bike_parking_min_dist,bike_parking_mean_dist,bike_share_count,bike_share_min_dist,bike_share_mean_dist,scooter_share_count,scooter_share_min_dist,scooter_share_mean_dist
ARL บ้านทับช้าง,0,0.0,0.0,2,55.0,172.5,0,0.0,0.0,0,0.0,0.0,1,305.0,305.0,0,0.0,0.0,2,45.0,45.0,2,85.0,262.5,1,116.0,116.0,0,0.0,0.0,0,0.0,0.0,0,0,0
ARL ราชปรารภ,2,135.32672351169532,227.46805768750573,2,5.753580343405236,12.58505588654391,0,0.0,0.0,0,0.0,0.0,1,160.04497641591047,160.04497641591047,1,5.753580343405236,5.753580343405236,1,14.0,14.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0
ARL รามคำแหง,1,120.0032327,120.0032327,1,49.96167056,49.96167056,1,130.0483989,130.0483989,1,530.0,530.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,199.9557588,199.9557588,0,0.0,0.0,1,25.24154442,25.24154442,0,0.0,0.0,0,0,0
ARL ลาดกระบัง,1,105.0,105.0,1,110.0,110.0,1,99.0,99.0,0,0.0,0.0,1,60.0,60.0,0,0.0,0.0,1,25.0,25.0,1,108.0,108.0,1,25.0,25.0,0,0.0,0.0,0,0.0,0.0,0,0,0
BTS ชิดลม,4,5.0,71.2802973025,3,25.48513275,95.06771086666667,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,170.0,170.0,1,90.0,90.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2,80.0,165.0,0,0,0
BTS ช้างเอราวัณ,3,16.0,100.66666666666667,2,13.0,35.5,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2,25.0,49.5,0,0.0,0.0,0,0,0
BTS ทองหล่อ,2,10.0,27.5,3,30.0,50.666666666666664,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2,8.0,10.0,2,8.0,9.0,0,0,0
BTS นานา,3,30.0,48.333333333333336,4,30.0,68.75,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,3,5.0,20.0,3,5.0,231.66666666666666,0,0,0
BTS บางจาก,2,30.0,35.0,3,54.0,64.66666666666667,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,5,3.0,43.8,0,0.0,0.0,0,0,0
BTS บางนา,1,24.0,24.0,3,11.0,29.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,4,13.0,35.25,0,0.0,0.0,0,0,0
